RD_WRITE_DT,RD_RATING,RD_ITEM_NM,RD_CONTENT,RD_OPTION_SIZE,RD_OPTION_COLOR,RD_REVIEWER_INFO,RD_REVIEW_IMAGES,PRODUCT_TITLE
20250407,5,COLOR: LIGHT BEIGE(네이버 단독) / SIZE: 66,색상 너무 은은하니 예쁘고 얼굴도 환해보이구 좋아요~~,잘 맞아요,,,,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20250407,5,COLOR: LIGHT BEIGE(네이버 단독) / SIZE: 55,날이 추워서 아직 안 입어봤지만...예뻐요~~~,잘 맞아요,,,,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20250407,5,COLOR: LIGHT BEIGE(네이버 단독) / SIZE: 55,색상도 예쁘고 봄에 입기 딱인 블라우스에요~~~ 감사합니다!,잘 맞아요,,,,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20250406,4,COLOR: IVORY / SIZE: 55사이즈잘 맞아요 (가슴)핏오버핏이에요착용감편해요,디자인도 여성스럽고 예뻐요. 안이 좀 비쳐서 속옷을 입어야 되요,잘 맞아요 (가슴),,,,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20250406,5,COLOR: BLUE / SIZE: 66,너무 예쁜데 어깨 퍼프가 너무 아쉬워오ㅠ 덩치가 커보여요,잘 맞아요,,,,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20250406,5,COLOR: LIGHT BEIGE(네이버 단독) / SIZE: 55,여성여성 한여름까지도 가능할듯 예뻐요,잘 맞아요,,,,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20250404,5,COLOR: LIGHT BEIGE(네이버 단독) / SIZE: 55,원단도 좋고 스타일도 예쁘네요,잘 맞아요,,,,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20250404,5,COLOR: BLACK / SIZE: 55,좋아요좋아요좋라요좋아요좋아요좋어요,잘 맞아요,,,,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20250402,5,COLOR: BLUE / SIZE: 66사이즈약간 커요 (가슴)핏오버핏이에요착용감편해요,고급지고 봄에 어울리는 컬러예요~,약간 커요 (가슴),,,,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20250402,3,COLOR: BLUE / SIZE: 55사이즈약간 커요 (팔 둘레)핏적당해요착용감편해요,구김이 잘가고 쉽게 올이 풀려요..거기다 타이부분이 넓지 않아 쉽게 풀리고 고정이 안되네요,약간 커요 (팔 둘레),,,,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20250401,5,COLOR: LIGHT BEIGE(네이버 단독) / SIZE: 66,만족합니다~~~ 만족합니다~~~ 만족합니다~~~ 만족합니다~~~ 만족합니다~~~ 만족합니다~~~,많이 커요,,,,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20250401,3,COLOR: LIGHT BEIGE(네이버 단독) / SIZE: 55,그냥그래요 그냥그래요 그냥그래요 그냥그래요 그냥그래요 그냥그래요 그냥그래요,잘 맞아요,,,,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20250327,5,COLOR: LIGHT BEIGE(네이버 단독) / SIZE: 55,배송빨라요!! 모델착용한것처럼 핏이뻐요☺️,잘 맞아요,,,,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20250327,5,COLOR: BLUE / SIZE: 66,색이 사진보다는 조금 진해요 소라색 느낌이고 디자인도 이쁘고 파임도 적당하나 많은 분들 지적처럼 목 뒤에 타이 고정된 곳 박음질이 약하네요.,잘 맞아요,,,,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20250326,4,"COLOR: LIGHT BEIGE(네이버 단독) / SIZE: 55체형160cm51kg사이즈약간 커요 (가슴, 어깨)핏오버핏이에요착용감편해요",디자인은 고급스럽고 예뻐요. 근데 컬러가 베이지보다는 연한 카키에 가까워요;;;,"약간 커요 (가슴, 어깨)",,,,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20250326,5,COLOR: LIGHT BEIGE(네이버 단독) / SIZE: 55,오래 고민하다 산건데 할인 많이 받고 사서 만족합니다. 옷이 좀 파인편이라 이너를 잘 입고 입어야 할 거 같아요.,잘 맞아요,,,,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20250324,5,COLOR: LIGHT BEIGE(네이버 단독) / SIZE: 55,색상 재질 디자인 모두 마음에 들어요^^ 가슴부분이 좀 파여있어서 안에 나시착용을 해야할것 같습니다.,잘 맞아요,,,,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20250319,5,COLOR: BLUE / SIZE: 66,단순한 셔츠가 아니라 좋아요,잘 맞아요,,,,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20250319,5,COLOR: LIGHT BEIGE(네이버 단독) / SIZE: 55,예뻐요~~~~~~~,잘 맞아요,,,,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20250317,4,COLOR: BLUE / SIZE: 55,어깨선이 너무 이쁘고 머플러도 뗄 수 있게 단추로 되어 있어서 좋아요. 콩단추도 너무 이쁩니다 봄에 두루두루 잘 입을 것 같아요,잘 맞아요,,,,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20250317,5,COLOR: BLUE / SIZE: 55사이즈약간 커요 (어깨)핏오버핏이에요착용감편해요,디자인이 예쁘고 콩단추가 귀여워요,약간 커요 (어깨),,,,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20250315,5,COLOR: IVORY / SIZE: 55,배송빠르고 좋아요~,잘 맞아요,,,,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20250313,5,COLOR: BLACK / SIZE: 66,배송 빠르고 만족합니다,잘 맞아요,,,,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20250311,5,COLOR: LIGHT BEIGE(네이버 단독) / SIZE: 55,이뻐요~~~~ 빨리 날씨가 따뜻해지면 좋겠어요.,약간 커요,,,,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20250311,3,COLOR: IVORY / SIZE: 55,"옷이 예쁜데, 단추가 너무 불편해요. 안풀려서 그냥 티셔츠처럼 입어야 함. 흰색은 시스루처럼 다 비쳐서 꼼꼼히 받쳐 입어야 함",잘 맞아요,,,,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20250310,5,COLOR: LIGHT BEIGE(네이버 단독) / SIZE: 55,이뻐용^^ 잘입을게요 ㅎ,잘 맞아요,,,,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20250309,5,COLOR: BLUE / SIZE: 55,처음에 66 샀다가 커서 동생주고 같은 거 하나 더 구매함 이쁨,잘 맞아요,,,,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20250307,5,COLOR: BLUE / SIZE: 55,조아요조아요조어요조어요,잘 맞아요,,,,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20250307,5,COLOR: LIGHT BEIGE(네이버 단독) / SIZE: 55,조아요조아요조아요조어요,잘 맞아요,,,,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20250306,5,COLOR: BLUE / SIZE: 55,예뻐요 만족합니다^^,잘 맞아요,,,,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20250306,4,COLOR: BLACK / SIZE: 55,예쁘네요~~이너로도 더워지면 하나만 입어도 좋을거 같아요 리본이 좀 크면 더 예쁠거 같은데 아쉽네요,잘 맞아요,,,,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20250305,5,COLOR: BLUE / SIZE: 55,고급스런 소재라 유행도 안타고 간지 나요 타이도 있어서 활용이 편하고 여기저기 다 어울릴 것 같아요,잘 맞아요,,,,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20250304,5,COLOR: IVORY / SIZE: 55,너무 너무 예뻐요!! 어깨가 좁아서 이렇게 어깨 있는 옷을 좋아하는데 역시나 너무 마음에 듭니다!,잘 맞아요,,,,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20250302,5,COLOR: BLUE / SIZE: 55,배송도 빨랐네요 감사합니다,잘 맞아요,,,,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20250225,5,COLOR: BLUE / SIZE: 66,가격때문에 고민하다가 질렀는데 이쁘네요 잘 입을거 같아요,잘 맞아요,,,,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20250225,5,COLOR: IVORY / SIZE: 55,2년전에 샀던 블루 넘 잘입어서 올해에는 아이보리도 샀어요 참 예뻐요. 타이블라우스 계속 유행하거라,약간 커요,,,,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20250222,5,COLOR: BLUE / SIZE: 55,색깔 디자인 모두 만족합니다,많이 커요,,,,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20250215,3,COLOR: BLUE / SIZE: 55,타이 박음질이 너무 엉성하고 다른구매하신 리뷰작성한것처람 디자인은 이쁘지만 얇은재질 소재라 쉽게 올이 나갈것 같아 조심하면서 입어야된다는 말이 확 와 닿네요..디자인이 예뻐서 그냥 입습니다..,잘 맞아요,,,,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
